date,feature_index,NO2
2026-07-31T00:00:00.000Z,0,
2026-08-01T00:00:00.000Z,0,3.133859172521625E-5
2026-08-06T00:00:00.000Z,0,4.483853293398473E-5
2026-07-30T00:00:00.000Z,0,3.4890384995378554E-5
2026-08-04T00:00:00.000Z,0,4.134571359567677E-5
2026-08-05T00:00:00.000Z,0,3.635605595550978E-5
2026-08-02T00:00:00.000Z,0,2.0078481369030973E-5
2026-08-03T00:00:00.000Z,0,2.901558373196167E-5
2026-04-16T00:00:00.000Z,0,4.010657731770253E-5
2026-04-13T00:00:00.000Z,0,2.8487695739646108E-5
2026-04-15T00:00:00.000Z,0,4.985853435452251E-5
2026-04-12T00:00:00.000Z,0,2.9059000553388614E-5
2026-04-10T00:00:00.000Z,0,
2026-04-11T00:00:00.000Z,0,
2026-04-09T00:00:00.000Z,0,3.919774694209495E-5
2026-04-14T00:00:00.000Z,0,2.9826889658579603E-5
2026-08-16T00:00:00.000Z,0,3.8885043856377403E-5
2026-08-21T00:00:00.000Z,0,4.034996224315061E-5
2026-08-18T00:00:00.000Z,0,3.766575173358433E-5
2026-08-15T00:00:00.000Z,0,3.603474760893732E-5
2026-08-19T00:00:00.000Z,0,3.776932010926733E-5
2026-08-22T00:00:00.000Z,0,5.702258204109967E-5
2026-08-17T00:00:00.000Z,0,3.248169377911836E-5
2026-08-20T00:00:00.000Z,0,3.5102142768058305E-5
2025-11-10T00:00:00.000Z,0,4.3255644413875416E-5
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,2.3202791908261133E-5
2025-11-15T00:00:00.000Z,0,
2026-01-17T00:00:00.000Z,0,2.8192525860504247E-5
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,1.2322471775405575E-5
2026-01-13T00:00:00.000Z,0,2.0580877010919114E-5
2026-01-16T00:00:00.000Z,0,1.497587982157711E-5
2026-01-18T00:00:00.000Z,0,1.6971534326633748E-5
2026-01-12T00:00:00.000Z,0,1.2378556675685104E-5
2026-04-21T00:00:00.000Z,0,3.6508023913484064E-5
2026-04-20T00:00:00.000Z,0,5.1905000145779925E-5
2026-04-19T00:00:00.000Z,0,3.344452006086403E-5
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,4.436370560749007E-5
2026-04-17T00:00:00.000Z,0,
2026-04-24T00:00:00.000Z,0,2.7867463407866516E-5
2026-04-23T00:00:00.000Z,0,2.669341999232226E-5
2026-07-21T00:00:00.000Z,0,3.378007422725204E-5
2026-07-15T00:00:00.000Z,0,3.067424036089506E-5
2026-07-20T00:00:00.000Z,0,4.1584982000131276E-5
2026-07-17T00:00:00.000Z,0,4.886037592465679E-5
2026-07-16T00:00:00.000Z,0,4.86023359132416E-5
2026-07-14T00:00:00.000Z,0,5.499074432009365E-5
2026-07-19T00:00:00.000Z,0,3.653377084097324E-5
2026-07-18T00:00:00.000Z,0,4.662510591082364E-5
2025-09-03T00:00:00.000Z,0,3.617392058004043E-5
2025-09-04T00:00:00.000Z,0,3.6542044902241535E-5
2025-09-02T00:00:00.000Z,0,2.2556501577734403E-5
2025-08-29T00:00:00.000Z,0,2.507879071345087E-5
2025-08-30T00:00:00.000Z,0,4.409124463004096E-5
2025-08-28T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,3.073554482678166E-5
2025-09-01T00:00:00.000Z,0,3.450444812726885E-5
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,-9.513885743217543E-6
2026-01-19T00:00:00.000Z,0,2.0891213544497366E-5
2026-01-21T00:00:00.000Z,0,
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,
2026-04-06T00:00:00.000Z,0,
2026-04-02T00:00:00.000Z,0,
2026-04-05T00:00:00.000Z,0,4.085755556713723E-5
2026-04-04T00:00:00.000Z,0,3.624481541919522E-5
2026-04-08T00:00:00.000Z,0,2.8646260365018282E-5
2026-04-01T00:00:00.000Z,0,4.663400432036724E-5
2026-04-03T00:00:00.000Z,0,3.068499700020766E-5
2026-04-07T00:00:00.000Z,0,
2026-07-02T00:00:00.000Z,0,4.4747890206053854E-5
2026-07-04T00:00:00.000Z,0,4.3923618917081816E-5
2026-07-03T00:00:00.000Z,0,3.924715565517545E-5
2026-07-01T00:00:00.000Z,0,4.501066305238055E-5
2026-06-29T00:00:00.000Z,0,4.4751406300026154E-5
2026-06-30T00:00:00.000Z,0,4.212074187914065E-5
2026-07-05T00:00:00.000Z,0,3.471117731980765E-5
2026-06-28T00:00:00.000Z,0,3.353769167396032E-5
2026-03-03T00:00:00.000Z,0,3.59227002869981E-5
2026-03-05T00:00:00.000Z,0,
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,
2026-03-04T00:00:00.000Z,0,2.920048063970171E-5
2026-02-28T00:00:00.000Z,0,
2026-03-07T00:00:00.000Z,0,
2026-08-10T00:00:00.000Z,0,4.361554733648142E-5
2026-08-07T00:00:00.000Z,0,4.3434447117919184E-5
2026-08-09T00:00:00.000Z,0,4.780469158583361E-5
2026-08-08T00:00:00.000Z,0,5.817150304210372E-5
2026-08-13T00:00:00.000Z,0,7.634643758744156E-5
2026-08-12T00:00:00.000Z,0,4.796890789293684E-5
2026-08-11T00:00:00.000Z,0,3.624745919036546E-5
2026-08-14T00:00:00.000Z,0,4.227809549774975E-5
2026-08-28T00:00:00.000Z,0,4.474009620025754E-5
2026-08-25T00:00:00.000Z,0,4.9626207501638595E-5
2026-08-27T00:00:00.000Z,0,5.133934468580669E-5
2026-08-24T00:00:00.000Z,0,6.743058474967256E-5
2026-08-26T00:00:00.000Z,0,4.146151807687532E-5
2026-08-23T00:00:00.000Z,0,4.919117297201107E-5
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,2.8336249063916814E-5
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,3.9271782548490184E-5
2025-10-25T00:00:00.000Z,0,
2025-10-24T00:00:00.000Z,0,
2025-12-16T00:00:00.000Z,0,1.0287148749436406E-5
2025-12-17T00:00:00.000Z,0,1.9904729879272053E-5
2025-10-18T00:00:00.000Z,0,5.1714627079491035E-5
2025-10-19T00:00:00.000Z,0,3.985713337897323E-5
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,4.4412123861548027E-5
2025-10-20T00:00:00.000Z,0,5.5430788052035496E-5
2025-10-15T00:00:00.000Z,0,4.960147503879853E-5
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,4.79248228657525E-5
2026-02-04T00:00:00.000Z,0,3.0249191110799855E-5
2026-02-05T00:00:00.000Z,0,2.5781312274375523E-5
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,1.3123128806827564E-5
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,1.696576873655431E-5
2026-02-10T00:00:00.000Z,0,2.166462137312111E-5
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,2.6731953767011873E-5
2025-11-23T00:00:00.000Z,0,2.4294881404784975E-5
2025-11-18T00:00:00.000Z,0,5.210603285377147E-5
2025-11-21T00:00:00.000Z,0,
2025-11-16T00:00:00.000Z,0,
2025-09-20T00:00:00.000Z,0,3.080583726180273E-5
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,3.603407752122551E-5
2025-09-14T00:00:00.000Z,0,2.9294053232521175E-5
2025-09-19T00:00:00.000Z,0,3.080297330598114E-5
2025-09-13T00:00:00.000Z,0,4.302935465400676E-5
2025-09-17T00:00:00.000Z,0,4.856658051721752E-5
2026-05-21T00:00:00.000Z,0,2.5755043814704685E-5
2026-05-19T00:00:00.000Z,0,
2026-05-23T00:00:00.000Z,0,3.466006536554131E-5
2026-05-25T00:00:00.000Z,0,3.4292756936338264E-5
2026-05-26T00:00:00.000Z,0,3.119326114150075E-5
2026-05-20T00:00:00.000Z,0,4.231407438055612E-5
2026-05-22T00:00:00.000Z,0,
2026-05-24T00:00:00.000Z,0,2.3438062635250388E-5
2025-09-25T00:00:00.000Z,0,3.6880060785430636E-5
2025-09-27T00:00:00.000Z,0,4.6713578679676475E-5
2025-09-23T00:00:00.000Z,0,3.6015743535244835E-5
2025-09-24T00:00:00.000Z,0,4.5674349292249675E-5
2025-09-21T00:00:00.000Z,0,3.4084655756790504E-5
2025-09-22T00:00:00.000Z,0,4.3226520877700146E-5
2025-09-28T00:00:00.000Z,0,2.2537993754667695E-5
2025-09-26T00:00:00.000Z,0,2.4186729206121527E-5
2026-05-15T00:00:00.000Z,0,3.9046961925729797E-5
2026-05-17T00:00:00.000Z,0,2.7564209424533395E-5
2026-05-11T00:00:00.000Z,0,3.415343526285142E-5
2026-05-16T00:00:00.000Z,0,4.606638759907111E-5
2026-05-18T00:00:00.000Z,0,3.0350475855003526E-5
2026-05-12T00:00:00.000Z,0,3.8226423081747875E-5
2026-05-14T00:00:00.000Z,0,
2026-05-13T00:00:00.000Z,0,2.4182674678741023E-5
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,2.3233121464727446E-5
2025-11-25T00:00:00.000Z,0,2.746030626936276E-5
2025-11-28T00:00:00.000Z,0,2.442196182528278E-5
2025-11-29T00:00:00.000Z,0,
2025-12-01T00:00:00.000Z,0,2.6428404756491847E-5
